  1.0000000000000000E-04   1.5969808294899355E+00  -1.0291819361018679E+00   2.8454992695761933E-01   1.2867569619928230E+00
  1.0000000000000001E-05   1.5969807808929704E+00  -1.0291064645597467E+00   2.2136270820213394E-01   1.2903680333494507E+00
  9.9999999999999995E-07   1.5969807792272415E+00  -1.0291038799498127E+00   2.1291306325226292E-01   1.2829559514193101E+00
  9.9999999999999995E-08   1.5969807787387811E+00  -1.0291031228035126E+00   2.1156836588918998E-01   1.2820926241023376E+00
  1.0000000000000000E-08   1.5969807786765615E+00  -1.0291030263616114E+00   2.1130092670216455E-01   1.2820739702188464E+00
  1.0000000000000001E-09   1.5969807786701744E+00  -1.0291030164610191E+00   2.1156228612377925E-01   1.2820797129877750E+00
  1.0000000000000000E-10   1.5969807786698136E+00  -1.0291030158978474E+00   2.1157666853941626E-01   1.2820845372753471E+00
  9.9999999999999994E-12   1.5969807786697592E+00  -1.0291030158251027E+00   2.1157762404035463E-01   1.2820845443692854E+00
  9.9999999999999998E-13   1.5969807786697745E+00  -1.0291030158184504E+00   2.1157774878048846E-01   1.2820846547648670E+00
  1.0000000000000000E-13   1.5969807786697796E+00  -1.0291030158178436E+00   2.1157776488834154E-01   1.2820846552605669E+00
