   1.0000000000000000E-004   1.6435399999999999E-002   1.7692552406650346E-002
   1.0000000000000001E-005   1.0748000000000004E-002   1.8733876009646975E-003
   9.9999999999999995E-007   1.2013399999999992E-002   2.2293025598711953E-003
   9.9999999999999995E-008   1.2315300000000036E-002   1.7978130037775751E-003
   1.0000000000000000E-008   1.2620766666666687E-002   2.8694580610923504E-003
   1.0000000000000001E-009   1.5133000000000070E-002   2.1262479013348921E-003
   1.0000000000000000E-010   1.9793766666666591E-002   3.2144549029326807E-003
   9.9999999999999994E-012   2.7985666666666673E-002   5.9465899665173743E-003
   9.9999999999999998E-013   4.0167366666666544E-002   3.8502726234271724E-003
   1.0000000000000000E-013   6.1153999999999917E-002   4.3413613946111443E-003
