  1.0000000000000000E-04   1.5969807938400464E+00  -1.0291266745273164E+00   1.9784070191146286E-01   2.2788095370272405E+01
  1.0000000000000001E-05   1.5969807839705525E+00  -1.0291112333778984E+00   2.1126179522003211E-01   1.7807287317781597E+00
  9.9999999999999995E-07   1.5969807793180164E+00  -1.0291040206084576E+00   2.1157291258848263E-01   1.2906141183793496E+00
  9.9999999999999995E-08   1.5969807787066239E+00  -1.0291030729752875E+00   2.1157765111749338E-01   1.2823194369286097E+00
  1.0000000000000000E-08   1.5969807786747323E+00  -1.0291030235407825E+00   2.1157775175852928E-01   1.2821139935418782E+00
  1.0000000000000001E-09   1.5969807786702728E+00  -1.0291030166221722E+00   2.1157776435178280E-01   1.2820875568318417E+00
  1.0000000000000000E-10   1.5969807786697823E+00  -1.0291030158772680E+00   2.1157776561967975E-01   1.2820848468700003E+00
  9.9999999999999994E-12   1.5969807786697514E+00  -1.0291030158238230E+00   2.1157776569652403E-01   1.2820846743187260E+00
  9.9999999999999998E-13   1.5969807786697774E+00  -1.0291030158183783E+00   2.1157776570405940E-01   1.2820846571845481E+00
  1.0000000000000000E-13   1.5969807786697758E+00  -1.0291030158178411E+00   2.1157776570480022E-01   1.2820846555021672E+00
