   1.0000000000000000E-004   8.4929333333333308E-003   1.8048025192062785E-003
   1.0000000000000001E-005   3.0837666666666671E-003   1.3298605237556597E-003
   9.9999999999999995E-007   1.7224666666666739E-003   8.6625638210650001E-004
   9.9999999999999995E-008   2.0861666666666702E-003   1.0166320693189865E-003
   1.0000000000000000E-008   2.4810666666666703E-003   1.1264615007374611E-003
   1.0000000000000001E-009   5.7062666666666591E-003   2.2260175346047509E-003
   1.0000000000000000E-010   7.7131999999999938E-003   2.8962013575454795E-003
   9.9999999999999994E-012   1.3005566666666668E-002   4.5782907041017010E-003
   9.9999999999999998E-013   1.7722699999999987E-002   6.0084988494746253E-003
   1.0000000000000000E-013   2.5843999999999954E-002   7.5311561460741907E-003
